cabang,nobukti,det_id,produk_id,produk_kode_api,produk_nama_api,produk_kode_db,produk_nama_db,afkir,qty_beli,qty_diterima,subtotal_rp,subtotal_net_rp,status,catatan
5,KRT/PB/2604-0108,11876,4168,NP078,VINILEX TINT BASE 25KG,NP078,VINILEX TINT BASE 25KG,,50.0,50.0,32885400.0,32885400.0,OK,
5,KRT/PB/2604-0108,11877,4169,NP077,VINILEX DEEP BASE 25KG,NP077,VINILEX DEEP BASE 25KG,,15.0,15.0,9432000.0,9432000.0,OK,
5,KRT/PB/2604-0108,11878,4209,NP075,VINILEX ACCENT BASE 25KG,NP075,VINILEX ACCENT BASE 25KG,,15.0,15.0,9014130.0,9014130.0,OK,
5,KRT/PB/2604-0108,11879,4170,NP083,VINILEX DEEP BASE 5KG,NP083,VINILEX DEEP BASE 5KG,,44.0,44.0,5823356.0,5823356.0,OK,
5,KRT/PB/2604-0108,11880,4171,NP081,VINILEX ACCENT BASE 5KG,NP081,VINILEX ACCENT BASE 5KG,,48.0,48.0,6065904.0,6065904.0,OK,
5,KRT/PB/2604-0108,11881,4261,NP072,VINILEX PASTEL BASE 1.3KG,NP072,VINILEX PASTEL BASE 1.3KG,,24.0,24.0,1362408.0,1362408.0,OK,
5,KRT/PB/2604-0108,11882,4262,NP074,VINILEX TINT BASE 1.3KG,NP074,VINILEX TINT BASE 1.3KG,,24.0,24.0,1337208.0,1337208.0,OK,
5,KRT/PB/2604-0108,11883,4264,NP071,VINILEX ACCENT BASE 1.3KG,NP071,VINILEX ACCENT BASE 1.3KG,,24.0,24.0,1195752.0,1195752.0,OK,
5,KRT/PB/2604-0109,11884,9920,NP243,PLATONE 8000 0.2L,NP243,PLATONE 8000 0.2L,,54.0,54.0,876150.0,876150.0,OK,
5,KRT/PB/2604-0109,11885,4157,NP114,PLATONE 8000 0.9L,NP114,PLATONE 8000 0.9L,,120.0,120.0,7402440.0,7402440.0,OK,
