== MONITOR MULAI 2026-08-13 08:13:57 ==
   log     : /home/csb-integrator/logs/run_migration_feb_apr_20260813_095254.log
   pid     : 995982
[2026-08-13 08:13:57] ALIVE | step=113/135 Landing POS cb5 2026-03-12 | STOP: MIGRASI 2026-03 gagal rc=1
[2026-08-13 08:13:57] == TERHENTI DENGAN MASALAH — STOP: MIGRASI 2026-03 gagal rc=1 ==
== MONITOR BERHENTI ==
== MONITOR MULAI 2026-08-13 08:14:13 ==
   log     : logs/run_migration_feb_apr_20260813_081029.log
[2026-08-13 09:32:14] ALIVE | step=? | normal
[2026-08-13 09:33:14] ALIVE | step=? | normal
[2026-08-13 09:34:14] ALIVE | step=? | normal
[2026-08-13 09:35:14] ALIVE | step=? | normal
[2026-08-13 09:36:14] ALIVE | step=? | normal
[2026-08-13 09:37:14] ALIVE | step=3/131 2026-04 Retur staging | normal
[2026-08-13 09:38:14] ALIVE | step=3/131 2026-04 Retur staging | normal
[2026-08-13 09:39:14] ALIVE | step=3/131 2026-04 Retur staging | normal
[2026-08-13 09:40:14] ALIVE | step=4/131 2026-04 Rekap penerimaan harian | normal
[2026-08-13 09:41:14] ALIVE | step=8/131 Upsert brighter_rekap_bulanan_dashboard dari dash_* | normal
[2026-08-13 09:42:14] ALIVE | step=73/131 Landing POS cb4 2026-04-05 | normal
[2026-08-13 09:43:14] ALIVE | step=113/131 Landing POS cb5 2026-04-15 | normal
[2026-08-13 09:44:14] ALIVE | step=119/131 Landing POS cb5 2026-04-21 | normal
[2026-08-13 09:45:14] ALIVE | step=119/131 Landing POS cb5 2026-04-21 | normal
[2026-08-13 09:46:14] ALIVE | step=124/131 Landing POS cb5 2026-04-26 | normal
[2026-08-13 09:47:14] DEAD | step=128/131 Landing POS cb5 2026-04-30 | STOP: NORMALIZE 2026-04 gagal rc=1
[2026-08-13 09:47:14] == TERHENTI DENGAN MASALAH — STOP: NORMALIZE 2026-04 gagal rc=1 ==
== MONITOR BERHENTI ==
